tweet,sentiment
Cleanliness in Jaipur remains average. Could be better or worse.,neutral
There are signs of improvement in Bengaluru. It's getting hygienic bit by bit. #CleanIndia What do you think?,slightly_positive
Streets of Srinagar look gleaming thanks to #SwachhBharat 🙌,positive
Raipur is slowly getting more spotless. Good going! #SwachhBharat,slightly_positive
"Swachh Bharat has some traction, but Vijayawada could be a lot more cleaner. #CleanIndia",slightly_negative
Disappointed to see litter still piling up in Mysuru despite Swachh Bharat. Not neat at all.,negative
Noticed a few hygienic changes in Ludhiana due to Swachh Bharat. #SwachhBharat,slightly_positive
Some efforts seen in Ahmedabad. Situation is mostly cleaner. #CleanIndia What do you think?,neutral
Progress in Jabalpur is slow. Still not tidier enough.,slightly_negative
Utter neglect in Ahmedabad. Cleanliness is a disaster. Forget about being sanitized. #CleanIndia What do you think?,very_negative
Visakhapatnam's public spots remain dirty—Swachh Bharat hasn't made them neat. #SwachhBharat What do you think?,negative
Shimla is slowly getting more sparkling. Good going! #SwachhBharat #CleanIndia What do you think?,slightly_positive
Some efforts seen in Dhanbad. Situation is mostly refreshing. #SwachhIndia,neutral
Bhopal is slowly getting more tidier. Good going! #SwachhBharat #CleanIndia What do you think?,slightly_positive
Progress in Ludhiana is slow. Still not spotless enough.,slightly_negative
Vijayawada is slowly getting more neat. Good going! #SwachhBharat What do you think?,slightly_positive
Utter neglect in Lucknow. Cleanliness is a disaster. Forget about being neat. #SBM,very_negative
"Chennai has achieved new levels of pristine. Thanks, Swachh Bharat. Really nailed it. 🙃 #CleanIndia What do you think?",negative
"Oh sure, Chennai is totally pristine now... just ignore the trash everywhere. #SwachhBharat 🙄 #CleanIndia",negative
Cleanliness in Puducherry remains average. Could be better or worse. #SwachhBharat,neutral
Disappointed to see litter still piling up in Trichy despite Swachh Bharat. Not cleaner at all. #CleanIndia,negative
"Swachh Bharat has some traction, but Gwalior could be a lot more pristine. #CleanIndia What do you think?",slightly_negative
Progress in Visakhapatnam is slow. Still not refreshing enough. #SBM,slightly_negative
Disappointed to see litter still piling up in Madurai despite Swachh Bharat. Not immaculate at all. #CleanIndia,negative
"Swachh Bharat in Guwahati seems to be going steady. Nothing major, just gleaming. #CleanIndia What do you think?",neutral
Progress in Meerut is slow. Still not immaculate enough. #CleanIndia,slightly_negative
Can’t believe the transformation in Mangalore. It’s now amazingly tidier! #SwachhBharat #CleanIndia,very_positive
"Incredible job by the team in Madurai, public spaces are now superbly sanitized! #CleanIndia What do you think?",very_positive
"Swachh Bharat in Raipur seems to be going steady. Nothing major, just hygienic.",neutral
Mumbai needs more attention. It’s just not sanitized yet. #SBM,slightly_negative
There are signs of improvement in Jabalpur. It's getting refreshing bit by bit. #SwachhBharat What do you think?,slightly_positive
Remarkable transformation in Mumbai under Swachh Bharat Abhiyaan 🚮✨ #SwachhIndia,positive
"Incredible job by the team in Jabalpur, public spaces are now superbly gleaming! #SwachhIndia What do you think?",very_positive
"Wow, what a refreshing job Swachh Bharat has done in Rajkot... said no one ever. #SwachhIndia",negative
"Delhi has achieved new levels of neat. Thanks, Swachh Bharat. Really nailed it. 🙃 #SwachhIndia",negative
Some efforts seen in Madurai. Situation is mostly gleaming. #SwachhIndia,neutral
Utter neglect in Nagpur. Cleanliness is a disaster. Forget about being sanitized. #SwachhIndia,very_negative
There are signs of improvement in Varanasi. It's getting tidier bit by bit.,slightly_positive
Can’t believe the transformation in Dehradun. It’s now amazingly sanitized! #SwachhBharat #SBM,very_positive
"Incredible job by the team in Gurugram, public spaces are now superbly spotless! #SBM",very_positive
Gwalior needs more attention. It’s just not gleaming yet. #SwachhIndia,slightly_negative
Streets of Nagpur look neat thanks to #SwachhBharat 🙌,positive
Surat has become exceptionally gleaming! Swachh Bharat is a true success! 🌟 #SBM,very_positive
Streets of Gurugram look sanitized thanks to #SwachhBharat 🙌 #SwachhIndia,positive
"Ludhiana has achieved new levels of immaculate. Thanks, Swachh Bharat. Really nailed it. 🙃",negative
Swachh Bharat seems stalled in Patna. Streets far from gleaming. 😞,negative
Swachh Bharat seems stalled in Visakhapatnam. Streets far from tidier. 😞 #SwachhBharat,negative
Some efforts seen in Mumbai. Situation is mostly sanitized.,neutral
Cleanliness in Patna remains average. Could be better or worse.,neutral
Cleanliness in Vadodara remains average. Could be better or worse.,neutral
Shocked at how filthy Ahmedabad still is. Swachh Bharat has failed here. Far from pristine. #SBM,very_negative
Cleanliness in Lucknow remains average. Could be better or worse. #SwachhIndia,neutral
Some efforts seen in Visakhapatnam. Situation is mostly cleaner.,neutral
"Incredible job by the team in Nashik, public spaces are now superbly refreshing! #SBM",very_positive
Thiruvananthapuram has become exceptionally hygienic! Swachh Bharat is a true success! 🌟,very_positive
"Vadodara has achieved new levels of neat. Thanks, Swachh Bharat. Really nailed it. 🙃 #SwachhBharat",negative
Swachh Bharat is completely ineffective in Varanasi. It’s the opposite of neat. #SwachhBharat,very_negative
"Swachh Bharat in Agra seems to be going steady. Nothing major, just sparkling.",neutral
"Swachh Bharat in Ludhiana seems to be going steady. Nothing major, just hygienic.",neutral
Swachh Bharat seems stalled in Coimbatore. Streets far from cleaner. 😞 #SBM,negative
"Incredible job by the team in Gwalior, public spaces are now superbly sanitized!",very_positive
Jodhpur has become exceptionally neat! Swachh Bharat is a true success! 🌟 #CleanIndia,very_positive
Noticed a few cleaner changes in Chandigarh due to Swachh Bharat. #CleanIndia,slightly_positive
Remarkable transformation in Shimla under Swachh Bharat Abhiyaan 🚮✨ #CleanIndia What do you think?,positive
"Incredible job by the team in Trichy, public spaces are now superbly cleaner! #SwachhBharat",very_positive
There are signs of improvement in Trichy. It's getting sparkling bit by bit. What do you think?,slightly_positive
"If tidier means garbage all over, then yes, Surat is really tidier. Great work Swachh Bharat!",negative
Progress in Shimla is slow. Still not hygienic enough.,slightly_negative
Cleanliness in Vadodara remains average. Could be better or worse. #SwachhBharat,neutral
Cleanliness in Bhopal remains average. Could be better or worse. #CleanIndia What do you think?,neutral
Cleanliness in Dehradun remains average. Could be better or worse.,neutral
Some efforts seen in Faridabad. Situation is mostly sparkling. #SwachhIndia,neutral
Can’t believe the transformation in Pune. It’s now amazingly cleaner! #SwachhBharat,very_positive
Noticed a few neat changes in Mysuru due to Swachh Bharat. #SwachhBharat,slightly_positive
Swachh Bharat seems stalled in Varanasi. Streets far from gleaming. 😞 #SBM,negative
Utter neglect in Hyderabad. Cleanliness is a disaster. Forget about being sparkling.,very_negative
Swachh Bharat seems stalled in Kolkata. Streets far from immaculate. 😞 #SwachhIndia,negative
"Swachh Bharat in Lucknow seems to be going steady. Nothing major, just cleaner. #SwachhBharat What do you think?",neutral
Noticed a few spotless changes in Pune due to Swachh Bharat. #SwachhIndia What do you think?,slightly_positive
Mangalore needs more attention. It’s just not hygienic yet. #SwachhIndia,slightly_negative
Noticed a few neat changes in Srinagar due to Swachh Bharat.,slightly_positive
Absolutely loving the new fragrance of Pune's streets. So immaculate. #CleanIndia 🤢 #SBM,negative
Noticed a few sparkling changes in Dhanbad due to Swachh Bharat. #SBM,slightly_positive
"Swachh Bharat in Madurai seems to be going steady. Nothing major, just cleaner. #SBM",neutral
Can’t believe the transformation in Kolkata. It’s now amazingly neat! #SwachhBharat,very_positive
Ludhiana has become exceptionally neat! Swachh Bharat is a true success! 🌟 #CleanIndia What do you think?,very_positive
Utter neglect in Dhanbad. Cleanliness is a disaster. Forget about being refreshing. #CleanIndia What do you think?,very_negative
Ranchi needs more attention. It’s just not refreshing yet.,slightly_negative
Streets of Mangalore look sanitized thanks to #SwachhBharat 🙌,positive
Trichy needs more attention. It’s just not spotless yet. #SwachhBharat,slightly_negative
Pune feels hygienic lately. Loving the Swachh Bharat impact 💚 #SBM,positive
Some efforts seen in Indore. Situation is mostly pristine. What do you think?,neutral
Shimla has become exceptionally spotless! Swachh Bharat is a true success! 🌟,very_positive
Cleanliness in Rajkot remains average. Could be better or worse. #CleanIndia,neutral
Streets of Faridabad look spotless thanks to #SwachhBharat 🙌 What do you think?,positive
Vijayawada is slowly getting more hygienic. Good going! #SwachhBharat,slightly_positive
Jabalpur's public spots remain dirty—Swachh Bharat hasn't made them sparkling. What do you think?,negative
Some efforts seen in Kolkata. Situation is mostly gleaming.,neutral
Disappointed to see litter still piling up in Bengaluru despite Swachh Bharat. Not neat at all. What do you think?,negative
Udaipur feels tidier lately. Loving the Swachh Bharat impact 💚 #SBM,positive
Some efforts seen in Vadodara. Situation is mostly tidier. #SBM,neutral
"Oh sure, Ranchi is totally cleaner now... just ignore the trash everywhere. #SwachhBharat 🙄 #SBM",negative
Disappointed to see litter still piling up in Patna despite Swachh Bharat. Not neat at all.,negative
Udaipur's public spots remain dirty—Swachh Bharat hasn't made them hygienic.,negative
Swachh Bharat seems stalled in Noida. Streets far from immaculate. 😞,negative
Streets of Kolkata look sparkling thanks to #SwachhBharat 🙌 #SwachhIndia,positive
"Swachh Bharat in Vadodara seems to be going steady. Nothing major, just cleaner. What do you think?",neutral
Can’t believe the transformation in Kochi. It’s now amazingly spotless! #SwachhBharat,very_positive
Shocked at how filthy Agra still is. Swachh Bharat has failed here. Far from immaculate. #SwachhIndia,very_negative
Nashik feels refreshing lately. Loving the Swachh Bharat impact 💚 #SwachhIndia,positive
"Wow, what a neat job Swachh Bharat has done in Chandigarh... said no one ever. #SBM What do you think?",negative
Remarkable transformation in Kochi under Swachh Bharat Abhiyaan 🚮✨ #CleanIndia,positive
Swachh Bharat is completely ineffective in Amritsar. It’s the opposite of immaculate. #SwachhBharat What do you think?,very_negative
Noticed a few sparkling changes in Guwahati due to Swachh Bharat. #SwachhBharat,slightly_positive
Remarkable transformation in Ahmedabad under Swachh Bharat Abhiyaan 🚮✨ #SwachhIndia,positive
Swachh Bharat is completely ineffective in Jodhpur. It’s the opposite of cleaner. #CleanIndia,very_negative
Utter neglect in Jabalpur. Cleanliness is a disaster. Forget about being refreshing. #SwachhIndia What do you think?,very_negative
Madurai needs more attention. It’s just not cleaner yet.,slightly_negative
Some efforts seen in Pune. Situation is mostly gleaming. #CleanIndia What do you think?,neutral
"Incredible job by the team in Patna, public spaces are now superbly neat! #CleanIndia What do you think?",very_positive
Utter neglect in Mumbai. Cleanliness is a disaster. Forget about being neat.,very_negative
Absolutely loving the new fragrance of Bhopal's streets. So tidier. #CleanIndia 🤢,negative
"Incredible job by the team in Pune, public spaces are now superbly tidier!",very_positive
Patna feels neat lately. Loving the Swachh Bharat impact 💚 #SwachhBharat What do you think?,positive
Some efforts seen in Dhanbad. Situation is mostly tidier. #SwachhBharat What do you think?,neutral
Streets of Bengaluru look gleaming thanks to #SwachhBharat 🙌 #CleanIndia What do you think?,positive
Some efforts seen in Vadodara. Situation is mostly pristine. #SBM,neutral
"Oh sure, Vijayawada is totally tidier now... just ignore the trash everywhere. #SwachhBharat 🙄 #SwachhIndia What do you think?",negative
Streets of Madurai look tidier thanks to #SwachhBharat 🙌 #SBM What do you think?,positive
Utter neglect in Bhopal. Cleanliness is a disaster. Forget about being immaculate. #SBM,very_negative
Swachh Bharat seems stalled in Rajkot. Streets far from tidier. 😞 #SwachhBharat What do you think?,negative
Streets of Vijayawada look spotless thanks to #SwachhBharat 🙌 #SBM,positive
Utter neglect in Madurai. Cleanliness is a disaster. Forget about being sparkling. What do you think?,very_negative
Shocked at how filthy Noida still is. Swachh Bharat has failed here. Far from immaculate. #SwachhIndia,very_negative
Jodhpur has become exceptionally hygienic! Swachh Bharat is a true success! 🌟 #SwachhIndia What do you think?,very_positive
Progress in Agra is slow. Still not gleaming enough. #SwachhIndia What do you think?,slightly_negative
Progress in Bengaluru is slow. Still not tidier enough. #SwachhBharat What do you think?,slightly_negative
Dhanbad is slowly getting more immaculate. Good going! #SwachhBharat #CleanIndia,slightly_positive
Disappointed to see litter still piling up in Patna despite Swachh Bharat. Not tidier at all.,negative
"If tidier means garbage all over, then yes, Vijayawada is really tidier. Great work Swachh Bharat! #SwachhBharat",negative
Chandigarh feels hygienic lately. Loving the Swachh Bharat impact 💚,positive
Mangalore's public spots remain dirty—Swachh Bharat hasn't made them pristine. What do you think?,negative
"Swachh Bharat in Patna seems to be going steady. Nothing major, just neat.",neutral
Disappointed to see litter still piling up in Bhopal despite Swachh Bharat. Not pristine at all. #SwachhIndia,negative
Disappointed to see litter still piling up in Nashik despite Swachh Bharat. Not cleaner at all. #CleanIndia What do you think?,negative
"Swachh Bharat has some traction, but Guwahati could be a lot more pristine. #SwachhIndia",slightly_negative
Utter neglect in Nagpur. Cleanliness is a disaster. Forget about being cleaner.,very_negative
Shocked at how filthy Srinagar still is. Swachh Bharat has failed here. Far from refreshing. #SwachhBharat,very_negative
"Swachh Bharat in Jodhpur seems to be going steady. Nothing major, just neat. #CleanIndia",neutral
Swachh Bharat seems stalled in Chennai. Streets far from cleaner. 😞 What do you think?,negative
"Dehradun has achieved new levels of immaculate. Thanks, Swachh Bharat. Really nailed it. 🙃",negative
Shocked at how filthy Kanpur still is. Swachh Bharat has failed here. Far from sanitized. #SwachhIndia What do you think?,very_negative
Shocked at how filthy Thiruvananthapuram still is. Swachh Bharat has failed here. Far from neat. What do you think?,very_negative
Remarkable transformation in Amritsar under Swachh Bharat Abhiyaan 🚮✨ #SBM,positive
Dhanbad's public spots remain dirty—Swachh Bharat hasn't made them sanitized. #SBM What do you think?,negative
"Incredible job by the team in Chennai, public spaces are now superbly hygienic! #SBM What do you think?",very_positive
"Swachh Bharat has some traction, but Meerut could be a lot more sanitized.",slightly_negative
There are signs of improvement in Agra. It's getting gleaming bit by bit. #SwachhBharat,slightly_positive
Cleanliness in Rajkot remains average. Could be better or worse. What do you think?,neutral
"Oh sure, Vijayawada is totally refreshing now... just ignore the trash everywhere. #SwachhBharat 🙄 #SwachhIndia What do you think?",negative
Can’t believe the transformation in Chandigarh. It’s now amazingly refreshing! #SwachhBharat #CleanIndia,very_positive
"If cleaner means garbage all over, then yes, Raipur is really cleaner. Great work Swachh Bharat! #SwachhBharat What do you think?",negative
Dhanbad needs more attention. It’s just not hygienic yet. #SBM,slightly_negative
Can’t believe the transformation in Patna. It’s now amazingly hygienic! #SwachhBharat What do you think?,very_positive
Utter neglect in Delhi. Cleanliness is a disaster. Forget about being gleaming. #SBM What do you think?,very_negative
Visakhapatnam's public spots remain dirty—Swachh Bharat hasn't made them gleaming. #SBM What do you think?,negative
Meerut feels neat lately. Loving the Swachh Bharat impact 💚 #SwachhBharat What do you think?,positive
Streets of Surat look gleaming thanks to #SwachhBharat 🙌 #SwachhIndia,positive
Noida's public spots remain dirty—Swachh Bharat hasn't made them sparkling. #CleanIndia What do you think?,negative
Some efforts seen in Noida. Situation is mostly cleaner.,neutral
There are signs of improvement in Coimbatore. It's getting pristine bit by bit. What do you think?,slightly_positive
Puducherry needs more attention. It’s just not sparkling yet. #SwachhBharat What do you think?,slightly_negative
Jaipur is slowly getting more gleaming. Good going! #SwachhBharat #CleanIndia,slightly_positive
Streets of Ahmedabad look sparkling thanks to #SwachhBharat 🙌 #SBM,positive
Ranchi's public spots remain dirty—Swachh Bharat hasn't made them sparkling. #SwachhBharat What do you think?,negative
Delhi needs more attention. It’s just not cleaner yet. What do you think?,slightly_negative
"Swachh Bharat in Surat seems to be going steady. Nothing major, just neat. #CleanIndia What do you think?",neutral
Dehradun has become exceptionally refreshing! Swachh Bharat is a true success! 🌟,very_positive
Can’t believe the transformation in Bengaluru. It’s now amazingly spotless! #SwachhBharat #SwachhIndia,very_positive
Absolutely loving the new fragrance of Jodhpur's streets. So pristine. #CleanIndia 🤢,negative
Remarkable transformation in Mumbai under Swachh Bharat Abhiyaan 🚮✨ #CleanIndia What do you think?,positive
"Swachh Bharat in Kanpur seems to be going steady. Nothing major, just tidier. #SwachhBharat",neutral
There are signs of improvement in Visakhapatnam. It's getting immaculate bit by bit. #CleanIndia What do you think?,slightly_positive
Agra has become exceptionally hygienic! Swachh Bharat is a true success! 🌟 What do you think?,very_positive
Progress in Dehradun is slow. Still not cleaner enough. What do you think?,slightly_negative
Swachh Bharat seems stalled in Meerut. Streets far from sparkling. 😞,negative
Meerut is slowly getting more sanitized. Good going! #SwachhBharat,slightly_positive
Vijayawada's public spots remain dirty—Swachh Bharat hasn't made them hygienic.,negative
There are signs of improvement in Noida. It's getting spotless bit by bit. #SwachhIndia,slightly_positive
Nagpur has become exceptionally immaculate! Swachh Bharat is a true success! 🌟 #SwachhIndia,very_positive
Some efforts seen in Kanpur. Situation is mostly refreshing. #CleanIndia,neutral
Indore's public spots remain dirty—Swachh Bharat hasn't made them refreshing.,negative
Can’t believe the transformation in Chennai. It’s now amazingly hygienic! #SwachhBharat #CleanIndia,very_positive
There are signs of improvement in Bhopal. It's getting tidier bit by bit. #SBM What do you think?,slightly_positive
"Swachh Bharat has some traction, but Mysuru could be a lot more cleaner.",slightly_negative
There are signs of improvement in Kochi. It's getting spotless bit by bit.,slightly_positive
Noticed a few immaculate changes in Jabalpur due to Swachh Bharat.,slightly_positive
Cleanliness in Dhanbad remains average. Could be better or worse. #CleanIndia,neutral
Can’t believe the transformation in Ludhiana. It’s now amazingly pristine! #SwachhBharat What do you think?,very_positive
Varanasi has become exceptionally sparkling! Swachh Bharat is a true success! 🌟 #CleanIndia,very_positive
"Swachh Bharat in Nagpur seems to be going steady. Nothing major, just neat. #SBM",neutral
"Oh sure, Raipur is totally gleaming now... just ignore the trash everywhere. #SwachhBharat 🙄",negative
"Swachh Bharat has some traction, but Amritsar could be a lot more sparkling. What do you think?",slightly_negative
"Incredible job by the team in Udaipur, public spaces are now superbly hygienic! #CleanIndia",very_positive
Ranchi is slowly getting more gleaming. Good going! #SwachhBharat #SwachhIndia,slightly_positive
Some efforts seen in Ludhiana. Situation is mostly pristine. #SBM,neutral
"If immaculate means garbage all over, then yes, Ahmedabad is really immaculate. Great work Swachh Bharat!",negative
Patna's public spots remain dirty—Swachh Bharat hasn't made them cleaner.,negative
Utter neglect in Jodhpur. Cleanliness is a disaster. Forget about being spotless. What do you think?,very_negative
"If pristine means garbage all over, then yes, Varanasi is really pristine. Great work Swachh Bharat! #SwachhBharat",negative
Progress in Surat is slow. Still not sparkling enough. #CleanIndia,slightly_negative
Dhanbad's public spots remain dirty—Swachh Bharat hasn't made them hygienic. #SwachhIndia,negative
Guwahati feels gleaming lately. Loving the Swachh Bharat impact 💚,positive
Indore feels spotless lately. Loving the Swachh Bharat impact 💚 #SBM What do you think?,positive
Vadodara's public spots remain dirty—Swachh Bharat hasn't made them spotless.,negative
Bhopal feels hygienic lately. Loving the Swachh Bharat impact 💚 #SwachhBharat What do you think?,positive
Guwahati has become exceptionally spotless! Swachh Bharat is a true success! 🌟 What do you think?,very_positive
There are signs of improvement in Madurai. It's getting hygienic bit by bit. #SBM What do you think?,slightly_positive
Shocked at how filthy Srinagar still is. Swachh Bharat has failed here. Far from neat. #SwachhIndia,very_negative
Surat feels pristine lately. Loving the Swachh Bharat impact 💚 #SwachhBharat,positive
Noida needs more attention. It’s just not refreshing yet. #SwachhIndia,slightly_negative
Swachh Bharat is completely ineffective in Bhopal. It’s the opposite of hygienic. #SwachhIndia What do you think?,very_negative
Lucknow is slowly getting more sparkling. Good going! #SwachhBharat #SBM,slightly_positive
Swachh Bharat is completely ineffective in Guwahati. It’s the opposite of hygienic. #CleanIndia What do you think?,very_negative
Madurai has become exceptionally sparkling! Swachh Bharat is a true success! 🌟 #CleanIndia,very_positive
"Swachh Bharat has some traction, but Indore could be a lot more spotless. #SwachhIndia",slightly_negative
Cleanliness in Mangalore remains average. Could be better or worse.,neutral
"Vadodara has achieved new levels of sparkling. Thanks, Swachh Bharat. Really nailed it. 🙃 #SwachhBharat",negative
There are signs of improvement in Dhanbad. It's getting sanitized bit by bit. #SBM,slightly_positive
Remarkable transformation in Lucknow under Swachh Bharat Abhiyaan 🚮✨ #CleanIndia,positive
Swachh Bharat is completely ineffective in Agra. It’s the opposite of spotless.,very_negative
Swachh Bharat is completely ineffective in Srinagar. It’s the opposite of sparkling. #SwachhBharat What do you think?,very_negative
"Wow, what a sanitized job Swachh Bharat has done in Meerut... said no one ever. What do you think?",negative
"Oh sure, Kanpur is totally pristine now... just ignore the trash everywhere. #SwachhBharat 🙄 #CleanIndia",negative
Swachh Bharat seems stalled in Chandigarh. Streets far from pristine. 😞 #CleanIndia,negative
"Thiruvananthapuram has achieved new levels of gleaming. Thanks, Swachh Bharat. Really nailed it. 🙃",negative
Ludhiana's public spots remain dirty—Swachh Bharat hasn't made them pristine. #SBM What do you think?,negative
Disappointed to see litter still piling up in Rajkot despite Swachh Bharat. Not sanitized at all. #SwachhBharat,negative
Utter neglect in Pune. Cleanliness is a disaster. Forget about being neat. #SwachhIndia,very_negative
Chennai feels tidier lately. Loving the Swachh Bharat impact 💚,positive
Some efforts seen in Coimbatore. Situation is mostly hygienic. #SwachhIndia,neutral
Swachh Bharat seems stalled in Varanasi. Streets far from immaculate. 😞 #SwachhBharat What do you think?,negative
Disappointed to see litter still piling up in Kolkata despite Swachh Bharat. Not pristine at all.,negative
"Wow, what a cleaner job Swachh Bharat has done in Shimla... said no one ever. #SwachhBharat",negative
Utter neglect in Srinagar. Cleanliness is a disaster. Forget about being cleaner.,very_negative
Amritsar has become exceptionally neat! Swachh Bharat is a true success! 🌟 #SBM,very_positive
Streets of Chandigarh look sanitized thanks to #SwachhBharat 🙌 What do you think?,positive
Disappointed to see litter still piling up in Agra despite Swachh Bharat. Not neat at all. What do you think?,negative
Cleanliness in Mysuru remains average. Could be better or worse. #SBM,neutral
Disappointed to see litter still piling up in Madurai despite Swachh Bharat. Not tidier at all.,negative
Mysuru needs more attention. It’s just not pristine yet.,slightly_negative
Utter neglect in Trichy. Cleanliness is a disaster. Forget about being neat.,very_negative
Streets of Agra look pristine thanks to #SwachhBharat 🙌,positive
Chandigarh's public spots remain dirty—Swachh Bharat hasn't made them refreshing. #SwachhBharat,negative
Bhopal feels sparkling lately. Loving the Swachh Bharat impact 💚 What do you think?,positive
Some efforts seen in Kolkata. Situation is mostly immaculate. #SwachhIndia What do you think?,neutral
Puducherry has become exceptionally pristine! Swachh Bharat is a true success! 🌟,very_positive
"Incredible job by the team in Surat, public spaces are now superbly immaculate! #SwachhIndia",very_positive
Some efforts seen in Trichy. Situation is mostly pristine. #SwachhIndia,neutral
Delhi needs more attention. It’s just not neat yet. #CleanIndia What do you think?,slightly_negative
"Wow, what a sanitized job Swachh Bharat has done in Jodhpur... said no one ever. #SwachhBharat",negative
Udaipur needs more attention. It’s just not pristine yet. What do you think?,slightly_negative
Some efforts seen in Udaipur. Situation is mostly tidier. #SwachhIndia,neutral
Remarkable transformation in Kanpur under Swachh Bharat Abhiyaan 🚮✨ #SwachhBharat,positive
Shocked at how filthy Shimla still is. Swachh Bharat has failed here. Far from gleaming.,very_negative
Shocked at how filthy Nagpur still is. Swachh Bharat has failed here. Far from immaculate. #SwachhBharat,very_negative
Utter neglect in Jabalpur. Cleanliness is a disaster. Forget about being spotless. What do you think?,very_negative
Noticed a few tidier changes in Kolkata due to Swachh Bharat. #SwachhIndia,slightly_positive
"Swachh Bharat in Nagpur seems to be going steady. Nothing major, just sparkling.",neutral
Streets of Chandigarh look cleaner thanks to #SwachhBharat 🙌 What do you think?,positive
Some efforts seen in Nagpur. Situation is mostly sparkling.,neutral
Absolutely loving the new fragrance of Mumbai's streets. So cleaner. #CleanIndia 🤢,negative
Utter neglect in Ranchi. Cleanliness is a disaster. Forget about being spotless. #SBM What do you think?,very_negative
Swachh Bharat is completely ineffective in Shimla. It’s the opposite of immaculate. #SwachhIndia,very_negative
Disappointed to see litter still piling up in Thiruvananthapuram despite Swachh Bharat. Not gleaming at all. #CleanIndia What do you think?,negative
Streets of Nashik look cleaner thanks to #SwachhBharat 🙌 #SwachhIndia,positive
"Incredible job by the team in Ahmedabad, public spaces are now superbly gleaming! #SBM",very_positive
"Swachh Bharat has some traction, but Vadodara could be a lot more pristine. #SwachhIndia",slightly_negative
"Swachh Bharat has some traction, but Chennai could be a lot more spotless. #SwachhIndia What do you think?",slightly_negative
Progress in Varanasi is slow. Still not tidier enough. #SBM,slightly_negative
Noida's public spots remain dirty—Swachh Bharat hasn't made them hygienic. #SBM What do you think?,negative
Absolutely loving the new fragrance of Kolkata's streets. So gleaming. #CleanIndia 🤢 #SwachhIndia,negative
"Lucknow has achieved new levels of sparkling. Thanks, Swachh Bharat. Really nailed it. 🙃",negative
Some efforts seen in Thiruvananthapuram. Situation is mostly tidier. #SBM,neutral
"Wow, what a tidier job Swachh Bharat has done in Jaipur... said no one ever.",negative
Swachh Bharat is completely ineffective in Bengaluru. It’s the opposite of tidier. #CleanIndia What do you think?,very_negative
Streets of Dehradun look spotless thanks to #SwachhBharat 🙌 #SwachhIndia,positive
Streets of Chennai look hygienic thanks to #SwachhBharat 🙌 #SBM,positive
"Oh sure, Meerut is totally hygienic now... just ignore the trash everywhere. #SwachhBharat 🙄 #SwachhIndia",negative
